period,employee_id,client_id,project_id,available_hours,worked_hours,billable_hours,non_billable_hours,overtime_hours
2026-01,E0189,C006,P008,160.0,159,123,36,0
2026-01,E0313,C004,P029,160.0,104,71,33,0
2026-01,E0262,C003,P013,160.0,146,121,25,0
2026-01,E0006,C001,P007,160.0,160,111,49,0
2026-01,E0084,C003,P020,160.0,103,81,22,0
2026-01,E0082,C009,P022,160.0,128,96,32,0
2026-01,E0058,C010,P031,160.0,146,100,46,0
2026-01,E0085,C001,P010,160.0,170,123,47,10
2026-01,E0404,C006,P009,160.0,130,111,19,0
2026-01,E0355,C006,P017,160.0,158,125,33,0
2026-01,E0489,C012,P010,160.0,181,140,41,21
2026-01,E0476,C010,P014,160.0,159,142,17,0
2026-01,E0335,C009,P032,160.0,139,130,9,0
2026-01,E0394,C007,P027,160.0,154,143,11,0
2026-01,E0066,C003,P026,160.0,129,90,39,0
2026-01,E0124,C012,P008,160.0,147,120,27,0
2026-01,E0273,C005,P024,160.0,141,127,14,0
2026-01,E0445,C008,P025,160.0,153,108,45,0
2026-01,E0414,C012,P030,160.0,134,93,41,0
2026-01,E0207,C004,P014,160.0,154,130,24,0
2026-01,E0087,C012,P010,160.0,134,108,26,0
2026-01,E0068,C006,P034,160.0,166,127,39,6
2026-01,E0224,C006,P006,160.0,136,121,15,0
2026-01,E0047,C002,P010,160.0,94,74,20,0
2026-01,E0126,C010,P004,160.0,119,88,31,0
2026-01,E0287,C002,P004,160.0,145,104,41,0
2026-01,E0011,C002,P029,160.0,186,171,15,26
2026-01,E0459,C009,P031,160.0,165,152,13,5
2026-01,E0383,C001,P013,160.0,89,74,15,0
2026-01,E0364,C004,P009,160.0,108,74,34,0
2026-01,E0086,C010,P011,160.0,173,153,20,13
2026-01,E0148,C008,P033,160.0,160,146,14,0
2026-01,E0409,C009,P025,160.0,201,178,23,41
2026-01,E0375,C005,P029,160.0,133,96,37,0
2026-01,E0348,C007,P027,160.0,123,107,16,0
2026-01,E0002,C004,P023,160.0,146,128,18,0
2026-01,E0191,C004,P011,160.0,133,121,12,0
2026-01,E0158,C006,P011,160.0,170,116,54,10
2026-01,E0283,C012,P009,160.0,132,119,13,0
2026-01,E0106,C005,P020,160.0,138,122,16,0
2026-01,E0045,C002,P034,160.0,120,83,37,0
2026-01,E0417,C011,P030,160.0,163,141,22,3
2026-01,E0460,C003,P013,160.0,121,101,20,0
2026-01,E0200,C002,P027,160.0,155,112,43,0
2026-01,E0432,C011,P034,160.0,191,143,48,31
2026-01,E0226,C009,P012,160.0,100,78,22,0
2026-01,E0057,C004,P006,160.0,182,170,12,22
2026-01,E0029,C012,P013,160.0,151,121,30,0
2026-01,E0194,C012,P021,160.0,116,96,20,0
2026-01,E0088,C003,P029,160.0,147,126,21,0
2026-01,E0299,C012,P011,160.0,163,151,12,3
2026-01,E0398,C005,P018,160.0,125,102,23,0
2026-01,E0009,C004,P034,160.0,156,129,27,0
2026-01,E0028,C012,P023,160.0,184,171,13,24
2026-01,E0482,C007,P025,160.0,132,122,10,0
2026-01,E0176,C004,P026,160.0,120,113,7,0
2026-01,E0415,C002,P026,160.0,141,127,14,0
2026-01,E0125,C001,P013,160.0,146,120,26,0
2026-01,E0188,C001,P016,160.0,172,132,40,12
2026-01,E0059,C004,P016,160.0,141,125,16,0
2026-01,E0151,C008,P028,160.0,134,87,47,0
2026-01,E0227,C002,P022,160.0,119,96,23,0
2026-01,E0001,C007,P016,160.0,103,95,8,0
2026-01,E0353,C004,P011,160.0,112,97,15,0
2026-01,E0320,C004,P032,160.0,112,87,25,0
2026-01,E0380,C003,P034,160.0,138,95,43,0
2026-01,E0179,C009,P012,160.0,107,75,32,0
2026-01,E0471,C011,P025,160.0,77,71,6,0
2026-01,E0430,C011,P018,160.0,143,108,35,0
2026-01,E0314,C007,P002,160.0,191,124,67,31
2026-01,E0184,C005,P029,160.0,173,146,27,13
2026-01,E0157,C010,P006,160.0,138,93,45,0
2026-01,E0050,C009,P012,160.0,117,111,6,0
2026-01,E0336,C011,P005,160.0,209,140,69,49
2026-01,E0411,C005,P014,160.0,146,127,19,0
2026-01,E0244,C010,P030,160.0,149,106,43,0
2026-01,E0356,C001,P022,160.0,141,99,42,0
2026-01,E0181,C003,P016,160.0,144,118,26,0
2026-01,E0122,C003,P020,160.0,131,87,44,0
2026-01,E0452,C011,P010,160.0,138,111,27,0
2026-01,E0185,C008,P035,160.0,182,142,40,22
2026-01,E0177,C005,P030,160.0,176,122,54,16
2026-01,E0072,C002,P014,160.0,93,65,28,0
2026-01,E0242,C002,P003,160.0,109,91,18,0
2026-01,E0035,C002,P030,160.0,125,96,29,0
2026-01,E0229,C010,P001,160.0,168,110,58,8
2026-01,E0307,C002,P027,160.0,176,126,50,16
2026-01,E0349,C008,P024,160.0,163,106,57,3
2026-01,E0010,C011,P001,160.0,116,79,37,0
2026-01,E0376,C004,P019,160.0,131,110,21,0
2026-01,E0466,C004,P016,160.0,157,113,44,0
2026-01,E0308,C009,P003,160.0,138,119,19,0
2026-01,E0074,C009,P028,160.0,135,122,13,0
2026-01,E0049,C005,P022,160.0,135,114,21,0
2026-01,E0449,C012,P022,160.0,173,123,50,13
2026-01,E0190,C001,P026,160.0,159,103,56,0
2026-01,E0274,C007,P027,160.0,137,92,45,0
2026-01,E0206,C999,P019,160.0,153,118,35,0
2026-01,E0420,C011,P035,160.0,113,103,10,0
2026-01,E0094,C012,P031,160.0,131,95,36,0
2026-01,E0372,C010,P014,160.0,171,130,41,11
2026-01,E0259,C011,P022,160.0,106,88,18,0
2026-01,E0217,C003,P017,160.0,160,123,37,0
2026-01,E0315,C002,P007,160.0,92,67,25,0
2026-01,E0025,C007,P004,160.0,187,174,13,27
2026-01,E0378,C005,P007,160.0,131,119,12,0
2026-01,E0329,C002,P020,160.0,154,122,32,0
2026-01,E0089,C001,P021,160.0,147,114,33,0
2026-01,E0131,C002,P001,160.0,148,97,51,0
2026-01,E0367,C011,P010,160.0,152,127,25,0
2026-01,E0333,C010,P022,160.0,102,74,28,0
2026-01,E0142,C007,P023,160.0,149,140,9,0
2026-01,E0161,C008,P007,160.0,140,113,27,0
2026-01,E0323,C005,P007,160.0,131,85,46,0
2026-01,E0254,C012,P019,160.0,125,115,10,0
2026-01,E0416,C008,P030,160.0,149,109,40,0
2026-01,E0392,C002,P019,160.0,120,97,23,0
2026-01,E0276,C009,P005,160.0,170,121,49,10
2026-01,E0290,C011,P009,160.0,156,101,55,0
2026-01,E0379,C006,P014,160.0,151,125,26,0
2026-01,E0024,C007,P031,160.0,169,143,26,9
2026-01,E0219,C010,P017,160.0,98,78,20,0
2026-01,E0091,C008,P010,160.0,113,75,38,0
2026-01,E0220,C006,P032,160.0,157,105,52,0
2026-01,E0488,C011,P007,160.0,126,104,22,0
2026-01,E0127,C002,P020,160.0,129,95,34,0
2026-01,E0463,C002,P027,160.0,109,82,27,0
2026-01,E0289,C010,P035,160.0,120,98,22,0
2026-01,E0395,C001,P012,160.0,171,135,36,11
2026-01,E0247,C011,P032,160.0,157,136,21,0
2026-01,E0440,C004,P005,160.0,149,106,43,0
2026-01,E0055,C006,P009,160.0,130,103,27,0
2026-01,E0294,C002,P024,160.0,148,122,26,0
2026-01,E0439,C001,P026,160.0,173,117,56,13
2026-01,E0251,C012,P029,160.0,127,85,42,0
2026-01,E0007,C010,P018,160.0,144,123,21,0
2026-01,E0447,C012,P029,160.0,189,147,42,29
2026-01,E0434,C004,P024,160.0,162,144,18,2
2026-01,E0092,C006,P019,160.0,130,111,19,0
2026-01,E0322,C008,P002,160.0,160,121,39,0
2026-01,E0301,C001,P034,160.0,105,71,34,0
2026-01,E0426,C011,P030,160.0,143,100,43,0
2026-01,E0256,C010,P021,160.0,160,130,30,0
2026-01,E0146,C003,P020,160.0,154,137,17,0
2026-01,E0020,C010,P017,160.0,160,135,25,0
2026-01,E0112,C010,P004,160.0,165,119,46,5
2026-01,E0423,C004,P033,160.0,156,124,32,0
2026-01,E0347,C001,P028,160.0,155,109,46,0
2026-01,E0113,C003,P023,160.0,150,123,27,0
2026-01,E0205,C008,P032,160.0,117,108,9,0
2026-01,E0052,C004,P007,160.0,171,160,11,11
2026-01,E0080,C001,P019,160.0,144,130,14,0
2026-01,E0448,C001,P034,160.0,162,146,16,2
2026-01,E0003,C012,P035,160.0,168,111,57,8
2026-01,E0284,C005,P034,160.0,132,109,23,0
2026-01,E0129,C002,P010,160.0,134,90,44,0
2026-01,E0077,C012,P005,160.0,137,117,20,0
2026-01,E0293,C002,P004,160.0,176,117,59,16
2026-01,E0419,C003,P007,160.0,122,90,32,0
2026-01,E0444,C008,P005,160.0,181,134,47,21
2026-01,E0061,C009,P003,160.0,149,124,25,0
2026-01,E0494,C012,P032,160.0,151,108,43,0
2026-01,E0304,C003,P032,160.0,167,109,58,7
2026-01,E0147,C009,P032,160.0,147,136,11,0
2026-01,E0143,C005,P010,160.0,171,152,19,11
2026-01,E0384,C004,P004,160.0,132,104,28,0
2026-01,E0014,C011,P005,160.0,180,150,30,20
2026-01,E0456,C009,P028,160.0,133,103,30,0
2026-01,E0175,C005,P019,160.0,181,157,24,21
2026-01,E0121,C006,P009,160.0,134,101,33,0
2026-01,E0096,C006,P004,160.0,137,100,37,0
2026-01,E0153,C009,P004,160.0,119,78,41,0
2026-01,E0473,C003,P032,160.0,125,81,44,0
2026-01,E0201,C010,P015,160.0,144,110,34,0
2026-01,E0373,C012,P025,160.0,150,128,22,0
2026-01,E0103,C012,P027,160.0,169,157,12,9
2026-01,E0169,C004,P027,160.0,139,109,30,0
2026-01,E0479,C001,P004,160.0,116,109,7,0
2026-01,E0412,C008,P004,160.0,154,110,44,0
2026-01,E0056,C005,P011,160.0,149,124,25,0
2026-01,E0178,C004,P011,160.0,157,126,31,0
2026-01,E0222,C008,P028,160.0,129,92,37,0
2026-01,E0030,C008,P025,160.0,131,92,39,0
2026-01,E0167,C008,P028,160.0,129,86,43,0
2026-01,E0171,C008,P014,160.0,174,163,11,14
2026-01,E0362,C010,P007,160.0,180,154,26,20
2026-01,E0427,C004,P029,160.0,130,90,40,0
2026-01,E0438,C007,P008,160.0,131,93,38,0
2026-01,E0334,C010,P031,160.0,160,129,31,0
2026-01,E0381,C002,P010,160.0,183,123,60,23
2026-01,E0275,C999,P024,160.0,189,172,17,29
2026-01,E0069,C012,P035,160.0,129,118,11,0
2026-01,E0390,C011,P003,160.0,135,126,9,0
2026-01,E0173,C008,P010,160.0,152,128,24,0
Jan-2026,E0250,C008,P028,160.0,153,124,29,0
2026-01,E0048,C011,P003,160.0,140,106,34,0
2026-01,E0345,C005,P015,160.0,125,90,35,0
2026-01,E0116,C005,P018,160.0,144,97,47,0
2026-01,E0241,C004,P034,160.0,189,135,54,29
2026-01,E0327,C005,P017,160.0,132,119,13,0
2026-01,E0330,C012,P018,160.0,150,119,31,0
2026-01,E0198,C003,P027,160.0,208,186,22,48
2026-01,E0341,C005,P015,160.0,131,98,33,0
2026-01,E0371,C008,P015,160.0,162,118,44,2
2026-01,E0095,C005,P002,160.0,191,174,17,31
2026-01,E0343,C007,P008,160.0,159,143,16,0
2026-01,E0291,C002,P021,160.0,172,156,16,12
2026-01,E0477,C002,P019,160.0,165,141,24,5
2026-01,E0065,C012,P030,160.0,157,134,23,0
2026-01,E0451,C008,P001,160.0,179,124,55,19
2026-01,E0428,C003,P002,160.0,161,147,14,1
2026-01,E0361,C010,P001,160.0,140,105,35,0
2026-01,E0081,C008,P002,160.0,148,129,19,0
2026-01,E0352,C012,P015,160.0,154,138,16,0
2026-01,E0306,C007,P031,160.0,135,108,27,0
2026-01,E0397,C009,P013,160.0,149,125,24,0
2026-01,E0389,C008,P018,160.0,146,106,40,0
2026-01,E0369,C012,P030,160.0,161,142,19,1
2026-01,E0295,C009,P026,160.0,199,135,64,39
2026-01,E0328,C004,P033,160.0,151,141,10,0
2026-01,E0073,C008,P014,160.0,184,138,46,24
2026-01,E0424,C011,P030,160.0,160,108,52,0
2026-01,E0042,C011,P019,160.0,149,138,11,0
2026-01,E0215,C010,P012,160.0,133,98,35,0
2026-01,E0454,C005,P029,160.0,149,128,21,0
2026-01,E0292,C008,P007,160.0,148,111,37,0
2026-01,E0303,C010,P027,160.0,127,106,21,0
2026-01,E0216,C008,P009,160.0,131,114,17,0
2026-01,E0027,C011,P013,160.0,154,101,53,0
2026-01,E0391,C010,P011,160.0,184,157,27,24
2026-01,E0152,C002,P032,160.0,143,112,31,0
2026-01,E0133,C012,P031,160.0,108,75,33,0
2026-02,E0412,C008,P004,160.0,90,79,11,0
2026-02,E0083,C008,P034,160.0,119,80,39,0
2026-02,E0027,C011,P013,160.0,162,138,24,2
2026-02,E0398,C005,P018,160.0,112,104,8,0
2026-02,E0445,C008,P025,160.0,166,115,51,6
2026-02,E0127,C002,P020,160.0,161,124,37,1
2026-02,E0129,C002,P010,160.0,142,119,23,0
2026-02,E0473,C003,P032,160.0,106,100,6,0
2026-02,E0307,C002,P027,160.0,127,98,29,0
2026-02,E0067,C011,P001,160.0,138,98,40,0
2026-02,E0052,C004,P007,160.0,153,100,53,0
2026-02,E0373,C012,P025,160.0,113,102,11,0
2026-02,E0420,C011,P035,160.0,181,143,38,21
2026-02,E0234,C005,P010,160.0,153,134,19,0
2026-02,E0207,C004,P014,160.0,156,140,16,0
2026-02,E0326,C005,P011,160.0,161,110,51,1
2026-02,E0367,C011,P010,160.0,178,117,61,18
2026-02,E0103,C012,P027,160.0,149,132,17,0
2026-02,E0028,C012,P023,160.0,162,128,34,2
2026-02,E0087,C012,P010,160.0,128,90,38,0
2026-02,E0490,C011,P035,160.0,190,151,39,30
2026-02,E0291,C002,P021,160.0,148,108,40,0
2026-02,E0375,C005,P029,160.0,127,112,15,0
2026-02,E0174,C007,P027,160.0,133,86,47,0
2026-02,E0381,C002,P010,160.0,97,65,32,0
2026-02,E0238,C010,P012,160.0,133,110,23,0
2026-02,E0256,C010,P021,160.0,84,61,23,0
2026-02,E0308,C009,P003,160.0,164,144,20,4
2026-02,E0428,C003,P002,160.0,155,102,53,0
2026-02,E0082,C009,P022,160.0,120,86,34,0
2026-02,E0301,C001,P034,160.0,143,135,8,0
2026-02,E0048,C011,P003,160.0,144,120,24,0
2026-02,E0332,C008,P018,160.0,116,99,17,0
2026-02,E0470,C007,P006,160.0,139,103,36,0
2026-02,E0358,C001,P003,160.0,145,116,29,0
2026-02,E0343,C007,P008,160.0,138,91,47,0
2026-02,E0012,C004,P003,160.0,127,85,42,0
2026-02,E0112,C010,P004,160.0,119,97,22,0
2026-02,E0410,C001,P032,160.0,137,117,20,0
2026-02,E0187,C006,P020,160.0,130,91,39,0
2026-02,E0088,C003,P029,160.0,159,108,51,0
2026-02,E0199,C003,P017,160.0,179,118,61,19
2026-02,E0029,C012,P013,160.0,168,156,12,8
2026-02,E0384,C004,P004,160.0,146,125,21,0
2026-02,E0044,C010,P003,160.0,128,116,12,0
2026-02,E0492,C003,P021,160.0,167,125,42,7
2026-02,E0277,C007,P004,160.0,160,143,17,0
2026-02,E0338,C007,P012,160.0,177,139,38,17
2026-02,E0364,C004,P009,160.0,149,125,24,0
2026-02,E0349,C008,P024,160.0,188,126,62,28
2026-02,E0484,C001,P008,160.0,149,99,50,0
2026-02,E0111,C006,P033,160.0,128,116,12,0
2026-02,E0303,C010,P027,160.0,132,94,38,0
2026-02,E0347,C001,P028,160.0,158,133,25,0
2026-02,E0268,C002,P007,160.0,130,103,27,0
2026-02,E0382,C006,P021,160.0,188,135,53,28
2026-02,E0273,C005,P024,160.0,155,147,8,0
2026-02,E0280,C005,P034,160.0,145,102,43,0
2026-02,E0414,C012,P030,160.0,148,126,22,0
2026-02,E0185,C008,P035,160.0,138,125,13,0
2026-02,E0143,C005,P010,160.0,103,89,14,0
2026-02,E0124,C012,P008,160.0,132,99,33,0
2026-02,E0002,C004,P023,160.0,184,140,44,24
2026-02,E0106,C005,P020,160.0,150,117,33,0
2026-02,E0390,C011,P003,160.0,171,148,23,11
2026-02,E0152,C002,P032,160.0,171,157,14,11
2026-02,E0405,C001,P032,160.0,144,111,33,0
2026-02,E0005,C005,P029,160.0,161,148,13,1
2026-02,E0437,C006,P013,160.0,105,74,31,0
2026-02,E0315,C002,P007,160.0,181,157,24,21
2026-02,E0454,C004,P016,160.0,179,123,56,19
2026-02,E0455,C002,P024,160.0,157,110,47,0
2026-02,E0177,C005,P030,160.0,151,108,43,0
2026-02,E0208,C003,P002,160.0,144,104,40,0
2026-02,E0153,C009,P004,160.0,174,158,16,14
2026-02,E0202,C010,P015,160.0,164,124,40,4
2026-02,E0183,C007,P016,160.0,73,60,13,0
2026-02,E0376,C004,P019,160.0,135,127,8,0
2026-02,E0461,C012,P024,160.0,117,85,32,0
2026-02,E0114,C002,P033,160.0,112,98,14,0
2026-02,E0155,C003,P024,160.0,174,119,55,14
2026-02,E0447,C005,P013,160.0,143,103,40,0
2026-02,E0475,C012,P009,160.0,156,104,52,0
2026-02,E0166,C002,P022,160.0,146,109,37,0
2026-02,E0200,C002,P027,160.0,112,100,12,0
2026-02,E0025,C007,P004,160.0,106,88,18,0
2026-02,E0097,C005,P013,160.0,134,115,19,0
2026-02,E0189,C006,P008,160.0,136,89,47,0
2026-02,E0090,C003,P035,160.0,136,118,18,0
2026-02,E0184,C005,P029,160.0,136,122,14,0
2026-02,E0034,C008,P003,160.0,196,174,22,36
2026-02,E0172,C009,P028,160.0,170,120,50,10
2026-02,E0147,C009,P032,160.0,150,102,48,0
2026-02,E0394,C007,P027,160.0,143,115,28,0
2026-02,E0081,C008,P002,160.0,144,134,10,0
2026-02,E0001,C007,P016,160.0,163,121,42,3
2026-02,E0466,C004,P016,160.0,142,113,29,0
2026-02,E0257,C007,P031,160.0,167,131,36,7
2026-02,E0221,C004,P012,160.0,153,123,30,0
2026-02,E0057,C004,P006,160.0,197,136,61,37
2026-02,E0181,C003,P016,160.0,141,92,49,0
2026-02,E0388,C012,P024,160.0,172,122,50,12
2026-02,E0286,C002,P004,160.0,119,101,18,0
2026-02,E0201,C010,P015,160.0,129,117,12,0
2026-02,E0374,C001,P005,160.0,192,135,57,32
2026-02,E0040,C001,P009,160.0,166,154,12,6
2026-02,E0006,C001,P007,160.0,157,134,23,0
2026-02,E0247,C011,P032,160.0,205,186,19,45
2026-02,E0408,C010,P026,160.0,143,117,26,0
2026-02,E0190,C001,P026,160.0,172,122,50,12
2026-02,E0119,C004,P034,160.0,174,147,27,14
2026-02,E0176,C004,P026,160.0,185,126,59,25
2026-02,E0009,C004,P034,160.0,116,98,18,0
2026-02,E0072,C002,P014,160.0,143,130,13,0
2026-02,E0267,C012,P004,160.0,153,135,18,0
2026-02,E0356,C001,P022,160.0,185,169,16,25
2026-02,E0424,C011,P030,160.0,156,120,36,0
2026-02,E0305,C001,P027,160.0,174,155,19,14
2026-02,E0361,C010,P001,160.0,114,100,14,0
2026-02,E0368,C004,P005,160.0,137,122,15,0
2026-02,E0403,C007,P014,160.0,179,122,57,19
2026-02,E0142,C007,P023,160.0,140,104,36,0
2026-02,E0276,C009,P005,160.0,145,110,35,0
2026-02,E0104,C009,P022,160.0,184,141,43,24
2026-02,E0396,C002,P018,160.0,123,96,27,0
2026-02,E0379,C006,P014,160.0,129,92,37,0
2026-02,E0254,C012,P019,160.0,111,74,37,0
2026-02,E0252,C004,P013,160.0,186,155,31,26
2026-02,E0417,C011,P030,160.0,170,134,36,10
2026-02,E0423,C004,P033,160.0,169,136,33,9
2026-02,E0051,C002,P016,160.0,136,107,29,0
2026-02,E0309,C002,P011,160.0,110,90,20,0
2026-02,E0167,C008,P028,160.0,103,83,20,0
2026-02,E0395,C001,P012,160.0,179,160,19,19
2026-02,E0171,C008,P014,160.0,159,137,22,0
2026-02,E0062,C002,P029,160.0,163,117,46,3
2026-02,E0160,C001,P021,160.0,152,141,11,0
2026-02,E0063,C012,P027,160.0,126,100,26,0
2026-02,E0284,C005,P034,160.0,137,99,38,0
2026-02,E0297,C009,P009,160.0,120,106,14,0
2026-02,E0061,C009,P003,160.0,117,94,23,0
2026-02,E0065,C012,P030,160.0,167,144,23,7
2026-02,E0194,C012,P021,160.0,105,76,29,0
2026-02,E0170,C011,P012,160.0,120,84,36,0
2026-02,E0337,C008,P008,160.0,139,118,21,0
2026-02,E0327,C005,P017,160.0,147,126,21,0
2026-02,E0220,C006,P032,160.0,111,75,36,0
2026-02,E0094,C012,P031,160.0,105,98,7,0
2026-02,E0438,C007,P008,160.0,156,124,32,0
2026-02,E0340,C012,P023,160.0,150,99,51,0
2026-02,E0056,C005,P011,160.0,179,150,29,19
2026-02,E0348,C007,P027,160.0,148,132,16,0
2026-02,E0321,C005,P004,160.0,158,144,14,0
2026-02,E0370,C006,P020,160.0,127,105,22,0
2026-02,E0133,C012,P031,160.0,128,98,30,0
2026-02,E0479,C001,P004,160.0,113,99,14,0
2026-02,E0409,C011,P020,160.0,127,93,34,0
2026-02,E0320,C004,P032,160.0,137,116,21,0
2026-02,E0021,C011,P001,160.0,176,119,57,16
2026-02,E0050,C009,P012,160.0,124,102,22,0
2026-02,E0023,C008,P028,160.0,198,138,60,38
2026-02,E0149,C009,P002,160.0,160,114,46,0
2026-02,E0084,C003,P020,160.0,155,105,50,0
2026-02,E0158,C006,P011,160.0,146,121,25,0
2026-02,E0314,C010,P003,160.0,141,114,27,0
2026-02,E0476,C010,P014,160.0,131,108,23,0
2026-02,E0033,C009,P030,160.0,110,87,23,0
2026-02,E0336,C011,P005,160.0,124,96,28,0
2026-02,E0179,C001,P004,160.0,185,160,25,25
2026-02,E0049,C005,P022,160.0,159,116,43,0
2026-02,E0316,C005,P006,160.0,185,124,61,25
2026-02,E0281,C011,P014,160.0,130,93,37,0
2026-02,E0004,C008,P017,160.0,119,90,29,0
2026-02,E0478,C001,P016,160.0,145,97,48,0
2026-02,E0289,C010,P035,160.0,125,111,14,0
2026-02,E0126,C010,P004,160.0,150,137,13,0
2026-02,E0471,C011,P025,160.0,106,89,17,0
2026-02,E0458,C005,P025,160.0,95,71,24,0
2026-02,E0038,C003,P022,160.0,154,131,23,0
2026-02,E0427,C004,P029,160.0,186,146,40,26
2026-02,E0352,C012,P015,160.0,155,103,52,0
2026-02,E0219,C010,P017,160.0,158,111,47,0
2026-02,E0453,C009,P006,160.0,146,125,21,0
2026-02,E0047,C002,P010,160.0,149,101,48,0
2026-02,E0085,C001,P010,160.0,109,85,24,0
2026-02,E0496,C012,P025,160.0,126,107,19,0
2026-02,E0371,C008,P015,160.0,175,155,20,15
2026-02,E0296,C012,P032,160.0,117,110,7,0
2026-02,E0215,C010,P012,160.0,137,127,10,0
2026-02,E0206,C999,P019,160.0,175,141,34,15
2026-02,E0272,C004,P031,160.0,148,123,25,0
2026-02,E0003,C012,P035,160.0,149,102,47,0
2026-02,E0037,C009,P009,160.0,137,123,14,0
2026-02,E0494,C012,P032,160.0,162,107,55,2
2026-02,E0113,C011,P023,160.0,168,124,44,8
2026-02,E0246,C011,P007,160.0,125,84,41,0
2026-02,E0283,C012,P009,160.0,111,103,8,0
2026-02,E0068,C006,P034,160.0,99,76,23,0
2026-02,E0304,C003,P032,160.0,157,123,34,0
