period,client_id,region,target_turnover_rate,target_utilization_rate,target_cost,target_billable_hours
2026-02,C001,north america,0.0341,0.7609,267382.13,3774
2026-02,C001,Europe,0.0453,0.8479,304142.56,5523
2026-02,C001,Asia Pacific,0.0766,0.7625,274294.76,4511
2026-02,C002,LATAM,0.0278,0.7841,205355.8,3863
2026-02,C002,North America,0.0734,0.812,295388.61,2652
2026-02,C002,EMEA,0.0356,0.8021,181169.01,2923
2026-02,C002,APAC,0.065,0.7631,371820.74,4014
2026-02,C003,latam,0.0307,0.738,254785.4,3377
2026-02,C003,north america,0.0428,0.731,279377.12,4061
2026-02,C003,EMEA,0.0261,0.7819,187451.45,3312
2026-02,C003,Asia Pacific,0.0246,0.8026,219932.62,5565
2026-02,C004,LATAM,0.067,0.7747,350226.54,3604
2026-02,C004,North America,0.0783,0.8656,222107.99,4131
2026-02,C004,Europe Middle East Africa,0.0782,0.7808,360734.3,6288
2026-02,C004,APAC,0.05,0.7343,244060.19,2611
2026-02,C005,Latam,0.0374,0.8479,245445.87,5309
2026-02,C005,North America,0.0368,0.7741,315984.59,5263
2026-02,C005,Europe,0.0673,0.7246,235408.17,2528
2026-02,C005,APAC,0.0256,0.8728,334446.92,3063
2026-02,C006,Latam,0.0498,0.744,232931.16,4640
2026-02,C006,North America,0.068,0.7955,244093.36,3014
2026-02,C006,Europe Middle East Africa,0.0259,0.8572,411817.28,4322
2026-02,C006,Asia-Pacific,0.0723,0.7532,371482.21,3449
2026-02,C007,Latin America,0.0595,0.86,406152.26,3830
2026-02,C007,north america,0.0579,0.7234,369598.43,3293
2026-02,C007,Europe,0.0218,0.8346,317660.82,4164
2026-02,C007,Asia-Pacific,0.0751,0.7777,310462.99,2785
2026-02,C008,Latam,0.0447,0.8309,242309.2,6151
2026-02,C008,NA,0.0344,0.8506,330807.52,4801
2026-02,C008,Europe,0.0313,0.8393,293726.69,4398
2026-02,C008,APAC,0.0209,0.7872,,6300
2026-02,C009,Latin America,0.0628,0.8122,390305.5,3008
2026-02,C009,North America,0.0687,0.815,265295.87,3667
2026-02,C009,Europe Middle East Africa,0.0649,0.7884,259032.74,3066
2026-02,C009,APAC,0.0789,0.8403,294234.99,5348
2026-02,C010,Latin America,0.0707,0.7409,262270.79,4550
2026-02,C010,NA,0.078,0.738,412042.46,5541
2026-02,C010,Europe Middle East Africa,0.0719,0.8237,287238.97,3609
2026-02,C010,Asia Pacific,0.0477,0.826,248295.89,5577
2026-02,C011,Latin America,0.0551,0.7575,341797.9,5842
2026-02,C011,North America,0.0627,0.8081,377594.9,4230
2026-02,C011,Europe,0.0746,0.8023,296739.2,2873
2026-02,C011,Asia-Pacific,0.0773,0.8564,192725.0,4322
2026-02,C012,LATAM,0.0479,0.8746,204825.56,5297
2026-02,C012,north america,0.0574,0.8218,261081.81,4159
2026-02,C012,EMEA,0.0643,0.7583,385544.38,6079
2026-02,C012,Asia-Pacific,0.0381,0.7651,347724.21,5994
2026-03,C001,Latin America,0.0304,0.8329,332903.95,6143
2026-03,C001,NA,0.0388,0.7761,215940.4,6133
2026-03,C001,Europe Middle East Africa,0.0321,1.25,220555.68,4690
2026-03,C001,Asia Pacific,0.0628,0.8575,338024.38,4850
2026-03,C002,LATAM,0.0596,0.7277,213245.07,6126
2026-03,C002,North America,0.0427,0.822,408140.53,4434
2026-03,C002,EMEA,0.0697,0.7747,314488.23,6118
2026-03,C002,Asia-Pacific,0.0637,0.7304,305924.61,6432
2026-03,C003,latam,0.0776,0.828,305217.74,4935
2026-03,C003,North America,0.0244,0.8354,180486.98,5480
2026-03,C003,Europe Middle East Africa,0.0272,0.8782,208622.46,3731
2026-03,C003,Asia Pacific,0.0355,0.7811,335912.6,6464
2026-03,C004,LATAM,0.08,0.857,237868.19,5605
2026-03,C004,north america,0.0474,0.848,221390.85,5643
2026-03,C004,Europe,0.0724,0.7983,410308.64,5831
2026-03,C004,Asia-Pacific,0.051,0.8075,336368.34,3878
2026-03,C005,Latam,0.0345,0.88,340585.29,6475
2026-03,C005,North America,0.0536,0.8542,354722.16,4377
2026-03,C005,EMEA,0.0234,0.8097,392965.46,5090
2026-03,C005,APAC,0.0404,0.7476,403541.15,3142
2026-03,C006,LATAM,0.0651,0.8363,313182.52,2626
2026-03,C006,north america,0.0781,0.8408,277482.94,4841
2026-03,C006,Europe Middle East Africa,0.0236,0.7855,277407.9,5481
2026-03,C006,APAC,0.0289,0.7889,398535.49,5955
2026-03,C007,Latam,0.053,0.7544,317061.81,3978
2026-03,C007,North America,0.0238,0.7692,361915.35,5238
2026-03,C007,Europe Middle East Africa,0.028,0.7373,352147.0,5896
2026-03,C007,APAC,0.0313,0.8789,293372.77,5907
2026-03,C008,LATAM,0.0468,0.8497,296980.36,5681
2026-03,C008,NA,0.0517,0.8019,355962.03,6264
2026-03,C008,Europe Middle East Africa,0.0623,0.7895,373819.94,4875
2026-03,C008,APAC,0.0299,0.7998,381756.61,5582
2026-03,C009,LATAM,0.0542,0.8623,303563.91,3618
2026-03,C009,north america,0.0363,0.7447,346858.65,4282
2026-03,C009,Europe,0.0634,0.8065,387655.65,6325
2026-03,C009,Asia-Pacific,0.0306,0.7856,194223.64,4444
2026-03,C010,Latin America,0.0604,0.763,261675.31,3797
2026-03,C010,North America,0.028,0.7953,266508.15,3631
2026-03,C010,EMEA,0.0664,0.8016,300514.83,4329
2026-03,C010,Asia-Pacific,0.0363,0.7963,264005.99,6018
2026-03,C011,LATAM,0.0316,0.7734,211770.45,3110
2026-03,C011,NA,0.0312,0.876,275328.46,6500
2026-03,C011,EMEA,0.0235,0.74,358366.01,5216
2026-03,C011,Asia Pacific,0.0407,0.8725,269092.08,4315
2026-03,C012,Latam,0.0345,0.8179,351779.34,2635
2026-03,C012,North America,0.0652,0.8512,366134.28,2660
2026-03,C012,Europe Middle East Africa,0.0429,0.7736,283843.33,3904
2026-03,C012,APAC,0.0588,0.7635,275930.9,4460
2026-04,C001,Latin America,0.0273,0.7748,313915.2,4475
2026-04,C001,north america,0.0545,0.8774,194843.71,5770
2026-04,C001,Europe,0.0704,0.8608,275865.71,6285
2026-04,C001,Asia Pacific,0.056,0.7534,212640.72,4279
2026-04,C002,Latam,0.033,0.7613,215867.65,6365
2026-04,C002,North America,0.0618,0.7455,407152.45,4628
2026-04,C002,EMEA,0.0479,0.8632,379895.9,5832
2026-04,C002,APAC,0.0498,0.7483,260884.46,4874
2026-04,C003,Latam,0.0261,0.7573,235062.67,4431
2026-04,C003,north america,0.0619,0.8617,181657.35,5338
2026-04,C003,Europe Middle East Africa,0.0387,0.8248,240235.99,6170
2026-04,C003,APAC,0.0323,0.7913,244103.48,3282
2026-04,C004,Latam,0.0732,0.7515,209709.49,5067
2026-04,C004,north america,0.0732,0.8023,308010.04,4003
2026-04,C004,Europe,0.0581,0.8749,210691.84,5144
2026-04,C004,Asia Pacific,0.0735,0.8201,183033.92,4403
2026-04,C005,Latam,0.0464,0.8148,372227.23,5128
2026-04,C005,north america,0.0423,0.8696,342607.59,4455
2026-04,C005,Europe,0.0543,0.7817,183975.0,5172
2026-04,C005,Asia-Pacific,0.0432,0.7791,349444.93,3758
2026-04,C006,Latin America,0.0637,0.8306,203006.18,4504
2026-04,C006,north america,0.0618,0.8466,291256.18,5239
2026-04,C006,EMEA,0.0461,0.7248,229502.07,3095
2026-04,C006,Asia-Pacific,0.0694,0.7517,412733.28,6466
2026-04,C007,latam,0.0513,0.778,229002.77,5472
2026-04,C007,NA,0.0516,0.809,332558.22,4843
2026-04,C007,EMEA,0.0333,0.7931,398442.82,4419
2026-04,C007,Asia-Pacific,0.0603,0.858,342652.69,2828
2026-04,C008,Latin America,0.0214,0.7464,322527.1,4032
2026-04,C008,north america,0.0695,0.7873,262906.88,3986
2026-04,C008,EMEA,0.0609,0.8364,210664.03,2547
2026-04,C008,Asia Pacific,0.0462,0.8603,356745.87,4646
2026-04,C009,latam,0.0583,0.8428,276785.38,4374
2026-04,C009,NA,0.0794,0.7991,293047.5,6066
2026-04,C009,Europe,0.0697,0.8123,307654.15,3510
2026-04,C009,APAC,0.0536,0.7773,327753.07,6147
2026-04,C010,LATAM,0.0339,0.7736,254500.69,6008
2026-04,C010,North America,0.0429,0.7444,258061.05,4818
2026-04,C010,Europe,0.0345,0.8283,250789.53,4846
2026-04,C010,Asia-Pacific,0.0791,0.7565,324892.18,5019
2026-04,C011,Latin America,0.075,0.7662,228255.03,4805
2026-04,C011,North America,0.0392,0.8391,279541.95,4283
2026-04,C011,Europe Middle East Africa,0.0592,0.7517,292783.24,4603
2026-04,C011,Asia Pacific,0.033,0.7286,357199.4,2872
2026-04,C012,LATAM,0.0597,0.8378,406777.91,6350
2026-04,C012,NA,0.0428,0.7802,343895.11,6485
2026-04,C012,EMEA,0.0411,0.7825,370735.07,3339
2026-04,C012,Asia-Pacific,0.0623,0.7497,407297.67,3337
2026-05,C001,Latin America,0.0751,0.7923,315427.26,4951
2026-05,C001,NA,0.0456,0.7826,371267.59,4876
2026-05,C001,EMEA,0.022,0.7217,311691.73,4264
2026-05,C001,Asia Pacific,0.0632,0.8364,359469.57,3351
2026-05,C002,Latam,0.0448,0.7687,361309.15,5668
2026-05,C002,north america,0.0732,0.8205,227448.55,4421
2026-05,C002,Europe Middle East Africa,0.0414,0.7781,405466.83,2874
2026-05,C002,Asia Pacific,0.0795,0.8472,368854.08,5024
2026-05,C003,LATAM,0.056,0.7993,400429.72,3698
2026-05,C003,north america,0.0594,0.7785,407900.89,2940
2026-05,C003,EMEA,0.0371,0.8402,375506.32,5431
2026-05,C003,Asia Pacific,0.0451,0.8738,380493.98,3544
2026-05,C004,latam,0.0676,0.8302,412447.27,4710
2026-05,C004,North America,0.0661,0.8611,358608.07,5721
2026-05,C004,Europe Middle East Africa,0.0395,0.8002,317424.0,5200
2026-05,C004,Asia Pacific,0.0433,0.7752,416967.87,4765
2026-05,C005,Latam,0.0466,0.8478,252706.3,4340
2026-05,C005,North America,0.0254,1.25,360876.38,4558
2026-05,C005,EMEA,0.0786,0.7638,375669.17,3953
2026-05,C005,APAC,0.0564,0.7845,256538.73,3377
2026-05,C006,LATAM,0.0437,1.25,193861.88,3481
2026-05,C006,NA,0.0507,0.8113,322006.24,5256
2026-05,C006,Europe,0.0368,0.8484,408552.45,3177
2026-05,C006,Asia Pacific,0.0758,0.7677,389967.7,3967
2026-05,C007,Latin America,0.0517,0.8152,222432.99,2959
2026-05,C007,NA,0.0692,0.8298,273330.21,5869
2026-05,C007,EMEA,0.0503,0.7302,305067.12,2684
2026-05,C007,APAC,0.0398,0.7697,329255.47,4063
2026-05,C008,latam,0.02,0.7679,372571.43,3368
2026-05,C008,North America,0.0441,0.7906,290293.41,5509
2026-05,C008,Europe Middle East Africa,0.0274,0.8387,199660.46,2832
2026-05,C008,APAC,0.0306,0.85,190627.14,5590
2026-05,C009,Latam,0.0636,0.8506,277214.5,3782
2026-05,C009,North America,0.0531,0.7854,300650.03,6293
2026-05,C009,Europe Middle East Africa,0.0242,0.8101,333319.32,2673
2026-05,C009,Asia Pacific,0.0274,0.8034,233186.62,3387
2026-05,C010,Latin America,0.0279,0.807,351515.71,5209
2026-05,C010,North America,0.0201,0.8504,303749.98,3792
2026-05,C010,Europe Middle East Africa,0.02,0.858,220164.07,3887
2026-05,C010,Asia Pacific,0.0316,0.803,205422.72,6087
2026-05,C011,LATAM,0.0241,0.8569,374555.23,6006
2026-05,C011,North America,0.0257,0.8067,398692.96,4789
2026-05,C011,EMEA,0.0431,0.8663,374020.69,4948
2026-05,C011,Asia Pacific,0.0565,0.8433,207824.59,6241
2026-05,C012,latam,0.0575,0.8358,188683.69,3959
2026-05,C012,North America,0.0272,0.7352,375114.95,5820
2026-05,C012,Europe Middle East Africa,0.0334,0.8686,278828.21,4294
2026-05,C012,APAC,0.0501,0.8472,298189.23,4478
2026-06,C001,LATAM,0.0522,0.8227,326476.73,3104
2026-06,C001,north america,0.071,0.8331,360291.26,6381
2026-06,C001,Europe Middle East Africa,0.0744,0.8727,383393.43,3997
2026-06,C001,APAC,0.0494,0.8659,204339.16,4230
2026-06,C002,LATAM,0.0292,0.8146,229808.57,3075
2026-06,C002,NA,0.0657,0.7647,264723.45,6439
2026-06,C002,EMEA,0.0225,0.8594,386305.17,5811
2026-06,C002,Asia Pacific,0.0225,0.7283,418086.3,3373
2026-06,C003,latam,0.0724,0.7317,402939.89,4531
2026-06,C003,North America,0.0513,0.7758,217079.89,4338
2026-06,C003,Europe,0.0525,0.7822,205492.03,5328
2026-06,C003,APAC,0.0743,0.8462,357757.55,5452
2026-06,C004,LATAM,0.059,0.8667,418722.56,4924
2026-06,C004,North America,0.0766,0.7887,297692.79,2882
2026-06,C004,EMEA,0.0266,0.8087,191535.91,5134
2026-06,C004,APAC,0.0525,0.8639,340134.1,3039
2026-06,C005,Latam,0.0725,0.8183,326088.13,3407
2026-06,C005,NA,0.0236,0.7719,320091.96,5553
2026-06,C005,Europe Middle East Africa,0.0661,0.8129,399666.08,2743
2026-06,C005,Asia Pacific,0.0673,0.7554,369771.08,5842
2026-06,C006,Latin America,0.056,0.8088,345005.76,5371
2026-06,C006,north america,0.0798,0.8505,382996.43,6110
2026-06,C006,Europe Middle East Africa,0.0622,0.8213,316972.93,4157
2026-06,C006,Asia-Pacific,0.0229,0.7661,187401.97,3168
2026-06,C007,LATAM,0.0239,0.8407,382211.62,5746
2026-06,C007,North America,0.0204,0.7396,368645.61,5678
2026-06,C007,EMEA,0.0765,0.8624,364483.04,3536
2026-06,C007,Asia Pacific,0.0648,0.8492,381560.35,6089
2026-06,C008,LATAM,0.0615,0.7999,204529.65,2656
2026-06,C008,north america,0.0704,0.7637,315341.52,3579
2026-06,C008,Europe,0.054,0.7764,376854.47,2547
2026-06,C008,Asia-Pacific,0.0608,0.8559,259780.13,6221
2026-06,C009,LATAM,0.0448,0.7411,406719.49,3574
2026-06,C009,North America,0.0439,0.8151,232905.26,5032
2026-06,C009,Europe Middle East Africa,0.0528,0.8533,317159.66,2666
2026-06,C009,Asia Pacific,0.0355,0.8173,245803.11,3749
2026-06,C010,Latam,0.0599,0.8253,249685.41,3970
2026-06,C010,North America,0.0758,0.8795,286335.02,4265
2026-06,C010,EMEA,0.039,0.7505,362662.97,4685
2026-06,C010,Asia Pacific,0.0472,0.8404,325156.73,6096
2026-06,C011,Latin America,0.0317,0.7353,405157.17,6461
2026-06,C011,North America,0.0497,0.8039,331203.54,3005
2026-06,C011,Europe,0.0794,0.8276,270077.96,4624
2026-06,C011,Asia Pacific,0.0549,0.7223,411860.88,6440
2026-06,C012,latam,0.0278,0.8491,409755.57,2847
2026-06,C012,NA,0.0655,0.7819,364494.73,4712
2026-06,C012,Europe,0.0461,0.8429,254025.96,4638
2026-06,C012,APAC,0.0362,0.8706,390271.02,4935
2026-07,C001,latam,0.049,0.7274,275000.17,4050
2026-07,C001,NA,0.0704,0.8394,377164.81,3709
2026-07,C001,EMEA,0.0295,0.8635,377246.36,4536
2026-07,C001,APAC,0.0324,0.8347,215404.24,3106
2026-07,C002,Latin America,0.0308,0.7525,216329.17,5890
2026-07,C002,north america,0.0434,0.7254,305039.73,5552
2026-07,C002,Europe Middle East Africa,0.0703,0.7694,273714.95,2756
2026-07,C002,Asia Pacific,0.0308,0.7779,383813.97,3890
2026-07,C003,Latam,0.0205,0.7776,355716.23,3432
2026-07,C003,North America,0.032,0.734,352558.09,4609
2026-07,C003,Europe,0.0423,0.7862,259052.91,6434
2026-07,C003,Asia-Pacific,0.0338,0.8262,238128.1,3019
2026-07,C004,LATAM,0.0204,0.7336,215252.15,6097
2026-07,C004,north america,0.0363,0.7613,358600.87,5471
2026-07,C004,EMEA,0.0676,0.7643,347603.83,5771
2026-07,C004,APAC,0.0369,0.725,396803.31,6293
2026-07,C005,latam,0.0507,0.7624,397664.11,6014
2026-07,C005,NA,0.0609,0.8216,390228.21,4473
2026-07,C005,Europe Middle East Africa,0.0657,0.7442,389729.0,2684
2026-07,C005,APAC,0.0258,0.7384,403334.42,3103
2026-07,C006,Latam,0.0256,0.7987,405677.38,6045
2026-07,C006,north america,0.0741,0.8027,300539.58,5175
2026-07,C006,EMEA,0.0776,0.8486,316046.9,3116
2026-07,C006,Asia Pacific,0.0298,0.7853,418411.08,4627
2026-07,C007,latam,0.0686,0.8287,266789.25,4439
2026-07,C007,North America,0.0783,0.8442,389026.37,6050
2026-07,C007,EMEA,0.045,0.8428,252121.84,4640
2026-07,C007,Asia-Pacific,0.0286,0.8398,418113.73,5874
2026-07,C008,Latam,0.0389,0.7673,224563.06,5118
2026-07,C008,North America,0.0322,0.7387,395768.72,6473
2026-07,C008,Europe Middle East Africa,0.0608,0.8412,312849.26,3856
2026-07,C008,APAC,0.0791,0.7603,267725.61,4769
2026-07,C009,Latam,0.0506,0.7955,181707.68,3573
2026-07,C009,North America,0.0438,0.7896,399619.61,5402
2026-07,C009,EMEA,0.0519,0.8065,412768.53,3725
2026-07,C009,Asia Pacific,0.0624,0.8524,287219.06,5461
2026-07,C010,Latam,0.0233,0.7956,229825.73,5301
2026-07,C010,NA,0.063,0.7824,266377.86,3276
2026-07,C010,EMEA,0.0423,0.84,212703.39,3025
2026-07,C010,APAC,0.0594,0.7255,381935.29,5415
2026-07,C011,LATAM,0.0354,0.8728,232768.25,5103
2026-07,C011,NA,0.0209,0.782,246567.11,3672
2026-07,C011,Europe,0.0285,0.8462,323400.56,6314
2026-07,C011,Asia Pacific,0.0412,0.7938,245093.02,3338
2026-07,C012,Latam,0.0241,0.8473,384048.92,2896
2026-07,C012,NA,0.061,0.778,234499.59,3495
2026-07,C012,Europe,0.0671,0.8693,219510.64,4270
2026-07,C012,Asia-Pacific,0.048,0.7348,360001.27,5556
2026-08,C001,Latam,0.0675,0.7684,250678.28,4956
2026-08,C001,north america,0.0498,0.8382,310257.08,3957
2026-08,C001,Europe Middle East Africa,0.063,0.8203,356078.82,4644
2026-08,C001,Asia-Pacific,0.0255,0.8692,302816.49,2719
2026-08,C002,Latam,0.0269,0.8116,216827.13,4986
2026-08,C002,North America,0.033,0.7899,400394.81,4609
2026-08,C002,EMEA,0.0495,0.7662,388196.51,6401
2026-08,C002,APAC,0.0329,0.7456,224692.01,6067
2026-08,C003,Latin America,0.0358,0.7266,391159.1,2556
2026-08,C003,North America,0.047,0.8297,415334.51,5497
2026-08,C003,Europe Middle East Africa,0.0727,0.8041,371413.39,4775
2026-08,C003,Asia Pacific,0.0386,0.7955,386040.64,3547
2026-08,C004,LATAM,0.0475,0.7554,272399.02,6021
2026-08,C004,North America,0.0441,0.7206,412074.99,4046
2026-08,C004,Europe Middle East Africa,0.0284,0.8568,311909.83,3133
2026-08,C004,APAC,0.0719,0.749,344985.64,4706
2026-08,C005,Latam,0.0273,0.8526,231006.4,6007
2026-08,C005,north america,0.0449,0.8733,219607.93,4775
2026-08,C005,Europe,0.0658,0.7414,242742.72,5737
2026-08,C005,APAC,0.0559,0.7516,182662.42,3726
2026-08,C006,Latin America,0.0586,0.8797,283413.28,3180
2026-08,C006,north america,0.0656,0.864,276212.8,6459
2026-08,C006,Europe,0.0219,0.7637,264555.48,3448
2026-08,C006,APAC,0.0309,0.7604,399395.0,3342
2026-08,C007,Latin America,0.0513,0.8363,318786.73,4803
2026-08,C007,NA,0.0267,0.8033,254228.86,6023
2026-08,C007,Europe,0.0411,0.7446,242733.19,2984
2026-08,C007,APAC,0.0724,0.8399,292243.81,5294
2026-08,C008,LATAM,0.0484,0.8332,253663.13,5409
2026-08,C008,north america,0.0763,0.8463,240580.87,6389
2026-08,C008,Europe Middle East Africa,0.0257,0.8303,354386.74,4873
2026-08,C008,Asia Pacific,0.0755,0.8381,376864.26,5803
2026-08,C009,Latin America,0.0544,0.7613,197580.36,3510
2026-08,C009,North America,0.0544,0.7516,205056.31,5625
2026-08,C009,Europe,0.0316,0.8303,260748.93,4533
2026-08,C009,APAC,0.0493,0.7938,304720.02,4450
2026-08,C999,latam,0.042,0.7535,369195.12,4241
2026-08,C010,NA,0.0325,0.8441,201431.72,3552
2026-08,C010,Europe Middle East Africa,0.0244,0.7754,365863.14,4774
2026-08,C010,APAC,0.0776,0.8244,371867.36,3233
2026-08,C011,latam,0.0672,0.8568,226077.27,4989
2026-08,C011,north america,0.0208,0.8498,383885.97,2970
2026-08,C011,Europe,0.072,0.7253,197999.01,3417
2026-08,C011,Asia-Pacific,0.0264,0.7693,412084.17,3760
2026-08,C012,Latin America,0.031,0.7518,413236.82,4545
2026-08,C012,north america,0.0294,0.7319,418277.49,4972
2026-08,C012,EMEA,0.0252,0.8582,305897.87,4112
2026-08,C012,APAC,0.068,0.7815,376625.45,5872
2026-09,C001,Latin America,0.0695,0.8326,184451.56,5937
2026-09,C001,north america,0.0788,0.8254,316964.83,2866
2026-09,C001,Europe,0.0789,0.797,307275.74,6277
2026-09,C001,APAC,0.0429,0.8181,317351.0,4391
2026-09,C002,Latam,0.0432,0.749,188776.59,5267
2026-09,C002,North America,0.0271,0.8482,362802.11,4376
2026-09,C002,EMEA,0.0459,0.7558,221628.25,3990
2026-09,C002,Asia-Pacific,0.0679,0.8108,285319.61,3148
2026-09,C003,Latin America,0.0747,0.8193,292553.39,5222
2026-09,C003,north america,0.0418,0.8664,286543.54,3300
2026-09,C003,EMEA,0.0661,0.7982,181707.12,2973
2026-09,C003,Asia-Pacific,0.0401,0.8285,203009.98,6452
2026-09,C004,latam,0.0606,0.7529,374009.87,5490
2026-09,C004,North America,0.0203,0.8746,281762.53,3893
2026-09,C004,Europe,0.0505,0.8301,388196.1,5312
2026-09,C004,Asia-Pacific,0.0452,0.7301,402695.35,4645
2026-09,C005,Latin America,0.0604,0.7959,406023.34,4551
2026-09,C005,North America,0.0792,0.7966,379188.8,6270
2026-09,C005,Europe Middle East Africa,0.0376,0.754,347246.66,3296
2026-09,C005,Asia Pacific,0.0364,0.8614,192254.48,4067
2026-09,C006,Latam,0.029,0.7833,298270.71,4237
2026-09,C006,North America,0.0557,0.8494,371639.08,5512
2026-09,C006,Europe,0.0511,0.8249,272939.04,5035
2026-09,C006,Asia Pacific,0.0692,0.8213,413387.27,5549
2026-09,C007,LATAM,0.0409,0.8547,374195.64,3477
2026-09,C007,North America,0.0712,0.8651,387248.25,5153
2026-09,C007,EMEA,0.063,0.7408,185644.3,3993
2026-09,C007,APAC,-0.05,0.7471,335388.83,4790
2026-09,C008,Latin America,0.0608,0.8397,326673.94,3789
2026-09,C008,NA,0.0585,0.7614,390607.02,3470
2026-09,C008,Europe,0.0683,0.7759,312951.75,6357
2026-09,C008,APAC,0.0664,0.7971,181749.93,3440
2026-09,C009,Latam,0.0319,0.8054,401979.09,4877
2026-09,C009,NA,0.0312,0.8171,239441.92,4961
2026-09,C009,Europe,0.0382,0.8385,190295.85,6263
2026-09,C009,Asia Pacific,0.0687,0.7247,233138.63,3356
2026-09,C010,LATAM,0.0781,0.8601,200966.67,2505
2026-09,C010,north america,0.0728,0.7549,374591.49,5393
2026-09,C010,Europe,0.0703,0.7703,191013.49,5523
2026-09,C010,APAC,0.0445,0.8026,388643.83,4351
2026-09,C011,latam,0.0324,0.8625,401886.07,4413
2026-09,C011,North America,0.0589,0.7626,416027.93,5730
2026-09,C011,Europe,0.0718,0.8393,239433.61,5984
2026-09,C011,APAC,0.0742,0.7515,368109.69,5036
2026-09,C012,latam,0.0359,0.7737,215192.78,2719
2026-09,C012,north america,0.0773,0.8121,376358.82,2785
2026-09,C012,EMEA,0.0726,0.7234,330788.48,4286
2026-09,C012,APAC,0.049,0.8053,343694.78,4942
2026-10,C001,Latin America,0.0269,0.7678,304259.59,4924
2026-10,C001,North America,0.0485,0.8214,228524.3,3304
2026-10,C001,EMEA,0.0718,0.7235,200926.81,3530
2026-10,C001,APAC,0.0734,0.7915,337272.18,3604
2026-10,C002,latam,0.0517,0.7537,261934.43,6374
2026-10,C002,North America,0.0601,0.843,344701.91,4178
2026-10,C002,EMEA,0.0311,0.7948,354287.8,6025
2026-10,C002,Asia-Pacific,0.0482,0.7892,292906.87,4469
2026-10,C003,LATAM,0.0582,0.8663,310020.36,6359
2026-10,C003,NA,0.0765,0.816,237397.3,5444
2026-10,C003,Europe,0.0753,0.858,316796.48,3021
2026-10,C003,APAC,0.0495,0.7606,323573.2,4909
2026-10,C004,Latin America,0.0776,0.7364,356740.64,3348
2026-10,C004,NA,0.0499,0.8696,287014.62,3869
2026-10,C004,Europe Middle East Africa,0.0503,0.8767,297426.92,2770
2026-10,C004,APAC,0.0577,0.8406,382805.34,3988
2026-10,C005,LATAM,0.0732,0.851,244158.75,4531
2026-10,C005,NA,0.0779,0.8044,362724.44,5288
